ndb_no,shrt_desc,water_g,energ_kcal,protein_g,lipid_tot_g,ash_g,carbohydrt_g,fiber_td_g,sugar_tot_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_ug,vit_c_mg,thiamin_mg,riboflavin_mg,niacin_mg,panto_acid_mg,vit_b6_mg,folate_tot_ug,folic_acid_ug,food_folate_ug,folate_dfe_ug,vit_b12_ug,vit_a_iu,vit_a_rae,retinol_ug,alpha_carot_ug,beta_carot_ug,beta_crypt_ug,lycopene_ug,lut_zea_ug,vit_e_mg,vit_d_ug,vit_d_iu,fa_sat_g,fa_mono_g,fa_poly_g,cholestrl_mg,gmwt_1,gmwt_desc1,refuse_pct,healthiness_score,health_category
13067,121,63.33,202,27.55,9.31,1.06,0.0,0.0,0.0,18.0,1.8,22.0,201.0,326.0,53.0,4.79,0.088,0.009,28.9,0.0,0.069,0.121,7.471,0.542,0.549,9.0,0.0,9.0,9.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,3.84,3.751,0.364,81.0,85.0,4,0.0,76.8732539034028,0
13070,126,64.06,194,27.82,8.32,1.07,0.0,0.0,0.0,15.0,1.84,23.0,211.0,338.0,56.0,5.11,0.086,0.01,31.2,0.0,0.074,0.142,8.208,0.546,0.579,9.0,0.0,9.0,9.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,3.452,3.279,0.329,80.0,85.0,4,2.0,77.0677401649427,0
13096,461,55.87,265,26.58,16.76,1.08,0.0,0.0,0.0,18.0,1.8,22.0,201.0,326.0,53.0,4.79,0.088,0.009,28.9,0.0,0.066,0.117,7.209,0.523,0.53,8.0,0.0,8.0,8.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,6.506,6.863,0.622,88.0,85.0,4,8.0,75.81275667509675,0
13098,264,61.3,205,28.88,9.01,1.17,0.0,0.0,0.0,16.0,1.98,25.0,227.0,363.0,60.0,5.49,0.092,0.011,33.6,0.0,0.077,0.148,8.521,0.567,0.601,10.0,0.0,10.0,10.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,3.43,3.595,0.332,90.0,85.0,4,19.0,77.42300408915307,0
13156,328,60.5,191,29.21,7.31,1.41,0.0,0.0,0.0,5.0,2.7,28.0,256.0,422.0,64.0,4.64,0.106,0.016,27.7,0.0,0.1,0.22,4.26,0.41,0.4,10.0,0.0,10.0,10.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,5.0,2.56,3.1,0.31,78.0,85.0,4,17.0,77.78391552731014,0
13158,329,62.44,172,29.25,5.22,1.41,0.0,0.0,0.0,5.0,2.71,28.0,256.0,423.0,64.0,4.66,0.107,0.016,27.7,0.0,0.1,0.22,4.27,0.41,0.41,10.0,0.0,10.0,10.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.83,2.22,0.22,78.0,85.0,4,17.0,77.99128518004098,0
13165,22,58.42,221,32.21,9.24,1.09,0.0,0.0,0.0,17.0,2.75,21.0,191.0,254.0,52.0,7.23,0.122,0.011,29.3,0.0,0.061,0.206,4.496,0.634,0.313,10.0,0.0,10.0,10.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,3.638,3.975,0.341,92.0,85.0,4,0.0,78.55391875698217,0
13231,412,69.56,161,22.13,7.39,1.01,0.0,0.0,0.0,18.0,1.98,11.0,209.0,276.0,56.0,3.61,0.058,0.003,23.0,0.0,0.051,0.275,5.412,0.433,0.647,3.0,0.0,3.0,3.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.1,3.0,2.894,3.3,0.399,59.0,85.0,4,35.0,75.24412261458717,0
13232,411,60.31,221,27.65,11.36,1.02,0.0,0.0,0.0,19.0,3.16,23.0,224.0,290.0,67.0,4.65,0.072,0.004,29.0,0.0,0.11,0.263,6.225,0.433,0.734,6.0,0.0,6.0,6.0,2.14,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,3.0,4.407,5.034,0.569,85.0,85.0,4,38.0,76.72668326800454,0
13235,419,69.97,160,22.1,7.27,1.0,0.0,0.0,0.0,21.0,1.65,11.0,196.0,263.0,35.0,3.86,0.061,0.003,22.5,0.0,0.051,0.225,5.765,0.347,0.634,4.0,0.0,4.0,4.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.1,3.0,2.782,3.091,0.374,59.0,85.0,4,39.0,75.30024478443262,0
13236,401,60.6,217,27.48,11.05,1.02,0.0,0.0,0.0,19.0,3.57,20.0,210.0,280.0,68.0,4.69,0.079,0.004,30.4,0.0,0.057,0.27,6.292,0.307,0.758,7.0,0.0,7.0,7.0,1.89,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,3.0,4.6,5.159,0.583,81.0,85.0,4,42.0,76.6208806239091,0
13284,262,71.33,149,21.17,6.57,0.93,0.0,0.0,0.0,10.0,1.94,20.0,157.0,297.0,52.0,5.28,0.076,0.012,16.5,0.0,0.076,0.166,3.624,0.257,0.302,6.0,0.0,6.0,6.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,2.65,2.771,0.189,60.0,85.0,4,37.0,74.97515976287501,0
13293,57,71.41,140,21.13,6.07,1.08,0.31,0.0,0.0,12.0,2.34,22.0,202.0,369.0,81.0,7.79,0.078,0.013,25.7,0.0,0.08,0.191,4.332,0.745,0.426,3.0,0.0,3.0,3.0,3.11,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,4.0,2.58,3.16,0.31,66.0,85.0,4,19.0,74.9178021993537,0
13294,43,70.82,145,21.19,6.51,1.08,0.39,0.0,0.0,12.0,2.27,22.0,200.0,361.0,80.0,7.82,0.081,0.013,24.4,0.0,0.08,0.192,4.29,0.69,0.406,4.0,0.0,4.0,4.0,3.26,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,4.0,2.76,3.24,0.32,65.0,85.0,4,20.0,74.89485917394519,0
13343,25,59.18,212,32.62,8.07,1.1,0.0,0.0,0.0,14.0,2.83,21.0,198.0,256.0,52.0,7.61,0.12,0.011,32.3,0.0,0.065,0.217,4.926,0.641,0.323,11.0,0.0,11.0,11.0,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,3.053,3.436,0.282,99.0,85.0,4,2.0,78.84114778661574,0
13356,62,69.19,170,19.42,9.99,0.91,0.49,0.0,0.0,11.0,2.42,20.0,181.0,321.0,77.0,7.58,0.077,0.014,21.7,0.0,0.08,0.197,3.287,0.805,0.405,3.0,0.0,3.0,3.0,3.1,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,4.0,4.132,4.889,0.526,69.0,85.0,4,5.0,73.90513235478389,0
13359,60,68.24,178,19.23,10.96,0.91,0.67,0.0,0.0,12.0,2.4,20.0,180.0,317.0,76.0,7.47,0.076,0.014,22.0,0.0,0.08,0.2,3.347,0.87,0.407,3.0,0.0,3.0,3.0,2.95,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,5.0,4.588,5.45,0.576,70.0,85.0,4,4.0,73.7173525160557,0
13362,111,53.22,283,27.21,18.54,1.12,0.0,0.0,0.0,9.0,2.72,23.0,210.0,322.0,62.0,6.02,0.113,0.017,20.5,0.0,0.08,0.22,3.67,0.35,0.32,7.0,0.0,7.0,7.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,7.31,7.91,0.67,87.0,85.0,4,13.0,75.80816807001504,0
13363,112,54.84,261,27.47,15.92,1.13,0.0,0.0,0.0,9.0,2.75,23.0,212.0,325.0,63.0,6.11,0.107,0.016,20.0,0.0,0.08,0.22,3.69,0.36,0.33,7.0,0.0,7.0,7.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,6.27,6.78,0.57,86.0,85.0,4,13.0,76.17525647655134,0
13364,116,59.33,211,29.88,9.28,1.23,0.0,0.0,0.0,8.0,2.99,26.0,231.0,355.0,66.0,6.78,0.124,0.019,21.3,0.0,0.09,0.24,4.0,0.39,0.35,8.0,0.0,8.0,8.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2,6.0,3.54,3.9,0.32,86.0,85.0,4,25.0,77.74332402081814,0
13365,117,58.83,219,29.88,10.15,1.23,0.0,0.0,0.0,8.0,2.99,26.0,231.0,355.0,66.0,6.77,0.124,0.019,21.2,0.0,0.09,0.24,4.01,0.39,0.36,8.0,0.0,8.0,8.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3.87,4.26,0.35,86.0,85.0,4,25.0,77.65596403945494,0
13366,118,60.05,201,29.89,8.09,1.23,0.0,0.0,0.0,8.0,2.99,26.0,231.0,354.0,66.0,6.8,0.124,0.019,20.6,0.0,0.09,0.24,4.0,0.39,0.35,8.0,0.0,8.0,8.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3.09,3.4,0.28,86.0,85.0,4,24.0,77.8659809643483,0
13368,29,57.71,218,29.75,10.08,1.04,0.0,0.0,0.0,6.0,2.81,23.0,241.0,285.0,70.0,6.89,0.119,0.017,24.5,0.0,0.07,0.22,3.71,0.36,0.29,8.0,0.0,8.0,8.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2,7.0,3.63,4.65,0.3,93.0,85.0,4,17.0,77.65419919134659,0
13369,24,58.9,213,32.9,8.01,1.03,0.0,0.0,0.0,19.0,2.76,21.0,200.0,264.0,54.0,7.61,0.114,0.011,30.9,0.0,0.067,0.195,4.667,0.649,0.322,10.0,0.0,10.0,10.0,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,3.152,3.444,0.296,92.0,85.0,4,0.0,78.92259552681598,0
13370,27,59.55,205,33.26,6.99,1.04,0.0,0.0,0.0,16.0,2.82,22.0,205.0,267.0,54.0,8.0,0.115,0.012,34.0,0.0,0.067,0.208,4.84,0.654,0.318,11.0,0.0,11.0,11.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,2.647,2.978,0.244,100.0,85.0,4,2.0,79.16923304995755,0
13372,28,55.7,244,28.05,13.8,0.98,0.0,0.0,0.0,6.0,2.79,22.0,226.0,273.0,77.0,7.39,0.115,0.017,23.5,0.0,0.07,0.23,3.57,0.34,0.28,8.0,0.0,8.0,8.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,5.18,6.46,0.36,91.0,85.0,4,25.0,76.63499940877588,0
13377,81,58.83,212,33.36,7.67,1.0,0.0,0.0,0.0,14.0,2.89,22.0,202.0,262.0,54.0,7.79,0.123,0.012,33.0,0.0,0.067,0.222,5.039,0.655,0.33,11.0,0.0,11.0,11.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,2.903,3.267,0.268,100.0,85.0,4,40.0,79.13675984476396,0
13378,82,61.2,195,33.37,5.8,1.01,0.0,0.0,0.0,17.0,2.77,22.0,207.0,270.0,55.0,8.09,0.108,0.012,37.9,0.0,0.071,0.205,4.829,0.658,0.309,11.0,0.0,11.0,11.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,2.194,2.469,0.202,98.0,85.0,4,42.0,79.32974598541176,0
13389,265,56.8,253,27.53,15.0,1.08,0.0,0.0,0.0,8.0,2.82,25.0,209.0,357.0,73.0,7.46,0.105,0.016,22.8,0.0,0.09,0.22,4.45,0.45,0.26,9.0,0.0,9.0,9.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,5.99,6.27,0.43,81.0,85.0,4,40.0,76.26173403386036,0
13390,266,59.3,220,27.53,11.4,1.08,0.0,0.0,0.0,8.0,2.82,25.0,209.0,357.0,73.0,7.46,0.105,0.016,22.8,0.0,0.09,0.22,4.45,0.45,0.26,9.0,0.0,9.0,9.0,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,4.55,4.77,0.33,81.0,85.0,4,37.0,76.64294122526344,0
13391,267,57.52,249,27.27,14.74,1.1,0.0,0.0,0.0,20.0,1.75,23.0,212.0,340.0,56.0,4.93,0.082,0.01,29.5,0.0,0.074,0.131,7.257,0.538,0.571,8.0,0.0,8.0,8.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.2,7.0,5.72,6.034,0.547,89.0,85.0,4,23.0,76.25732191358951,0
13393,268,52.79,285,24.91,19.79,1.09,0.0,0.0,0.0,13.0,2.3,23.0,184.0,344.0,64.0,5.98,0.09,0.014,21.1,0.0,0.09,0.19,4.22,0.31,0.35,7.0,0.0,7.0,7.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,8.01,8.49,0.68,83.0,85.0,4,24.0,74.81455858501538,0
13394,271,62.59,193,29.41,7.53,1.18,0.0,0.0,0.0,19.0,1.87,25.0,233.0,376.0,61.0,5.46,0.087,0.011,34.3,0.0,0.08,0.149,8.415,0.579,0.631,10.0,0.0,10.0,10.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,5.0,2.868,3.005,0.277,91.0,85.0,4,37.0,77.7553249879549,0
13395,272,58.7,225,28.04,11.7,1.23,0.0,0.0,0.0,13.0,2.57,27.0,208.0,394.0,69.0,6.99,0.1,0.016,21.9,0.0,0.1,0.22,4.8,0.34,0.4,8.0,0.0,8.0,8.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,4.73,4.94,0.33,80.0,85.0,4,37.0,76.78412907393124,0
13396,273,60.3,198,28.04,8.7,1.23,0.0,0.0,0.0,13.0,2.57,27.0,208.0,394.0,69.0,6.99,0.1,0.016,21.9,0.0,0.1,0.22,4.8,0.34,0.4,8.0,0.0,8.0,8.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3.51,3.67,0.25,80.0,85.0,4,37.0,77.10709627775884,0
13398,291,57.33,223,33.56,8.86,1.0,0.0,0.0,0.0,8.0,2.72,22.0,208.0,271.0,44.0,5.6,0.08,0.012,34.2,0.0,0.077,0.179,5.866,0.662,0.441,10.0,0.0,10.0,10.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.2,6.0,3.184,3.751,0.334,95.0,85.0,4,2.0,79.15943814295622,0
13399,284,64.46,187,27.42,7.72,1.09,0.0,0.0,0.0,7.0,2.24,18.0,171.0,223.0,36.0,4.61,0.065,0.01,28.1,0.0,0.063,0.146,4.793,0.541,0.36,9.0,0.0,9.0,9.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,2.773,3.266,0.291,79.0,85.0,4,1.0,77.14336390638539,0
13401,292,56.74,230,32.73,10.0,1.01,0.0,0.0,0.0,7.0,2.71,21.0,199.0,264.0,42.0,5.41,0.071,0.011,34.5,0.0,0.068,0.184,5.918,0.644,0.43,10.0,0.0,10.0,10.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,3.593,4.233,0.377,96.0,85.0,4,1.0,78.75996477363175,0
13402,285,63.54,199,26.76,9.37,1.06,0.0,0.0,0.0,6.0,2.2,17.0,162.0,215.0,35.0,4.41,0.058,0.009,28.1,0.0,0.056,0.15,4.839,0.527,0.352,8.0,0.0,8.0,8.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,3.366,3.966,0.353,81.0,85.0,4,1.0,76.75165586873766,0
13404,293,57.92,217,34.39,7.72,0.99,0.0,0.0,0.0,9.0,2.74,22.0,216.0,279.0,45.0,5.78,0.088,0.012,33.8,0.0,0.087,0.173,5.802,0.679,0.452,11.0,0.0,11.0,11.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,2.775,3.269,0.291,93.0,85.0,4,3.0,79.56244120849739,0
13405,286,65.37,175,28.08,6.06,1.12,0.0,0.0,0.0,7.0,2.28,19.0,179.0,232.0,37.0,4.81,0.073,0.01,28.1,0.0,0.071,0.141,4.738,0.554,0.369,9.0,0.0,9.0,9.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,2.179,2.567,0.228,77.0,85.0,4,1.0,77.53533667124938,0
13407,297,58.09,214,34.0,7.67,1.01,0.0,0.0,0.0,7.0,2.83,23.0,214.0,278.0,44.0,5.82,0.084,0.012,38.3,0.0,0.077,0.192,6.109,0.669,0.456,11.0,0.0,11.0,11.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.1,5.0,2.675,3.231,0.286,93.0,85.0,4,4.0,79.45302062577984,0
13408,290,65.37,177,27.76,6.48,1.1,0.0,0.0,0.0,6.0,2.33,19.0,176.0,228.0,36.0,4.79,0.069,0.01,31.5,0.0,0.063,0.157,4.987,0.546,0.372,9.0,0.0,9.0,9.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,2.26,2.73,0.242,77.0,85.0,4,3.0,77.40270833590706,0
13410,298,57.36,223,33.08,9.03,1.02,0.0,0.0,0.0,7.0,2.93,22.0,209.0,271.0,43.0,5.79,0.078,0.011,37.8,0.0,0.069,0.207,6.356,0.65,0.462,11.0,0.0,11.0,11.0,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,3.152,3.807,0.337,95.0,85.0,4,2.0,79.00024884358326,0
13411,471,64.83,185,27.23,7.63,1.07,0.0,0.0,0.0,6.0,2.4,18.0,172.0,222.0,36.0,4.74,0.064,0.009,30.9,0.0,0.057,0.17,5.232,0.535,0.38,9.0,0.0,9.0,9.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,2.661,3.214,0.285,78.0,85.0,4,4.0,77.10771397459678,0
13413,299,58.82,206,34.93,6.3,1.01,0.0,0.0,0.0,7.0,2.85,23.0,222.0,289.0,46.0,5.97,0.096,0.013,43.3,0.0,0.084,0.189,6.007,0.688,0.461,12.0,0.0,12.0,12.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,2.198,2.655,0.235,91.0,85.0,4,5.0,79.90755725608476,0
13414,283,65.9,169,28.29,5.33,1.13,0.0,0.0,0.0,6.0,2.35,19.0,183.0,238.0,38.0,4.92,0.079,0.01,35.7,0.0,0.068,0.153,4.865,0.557,0.373,9.0,0.0,9.0,9.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,1.86,2.247,0.199,76.0,85.0,4,2.0,77.69390827378442,0
13415,301,65.05,167,29.66,4.46,1.21,0.0,0.0,0.0,16.0,1.84,15.0,279.0,401.0,67.0,4.3,0.053,0.002,28.4,0.0,0.08,0.232,8.464,0.448,0.811,5.0,0.0,5.0,5.0,2.32,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,1.615,1.876,0.317,76.0,85.0,4,0.0,78.19115422831133,0
13416,306,64.5,171,29.79,4.83,1.19,0.0,0.0,0.0,16.0,1.86,15.0,279.0,408.0,66.0,4.32,0.062,0.001,28.7,0.0,0.08,0.231,8.581,0.438,0.817,5.0,0.0,5.0,5.0,2.13,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,1.0,1.656,1.959,0.333,74.0,85.0,4,0.0,78.23148100758708,0
13417,304,65.92,162,29.45,3.97,1.21,0.0,0.0,0.0,16.0,1.74,14.0,280.0,392.0,63.0,4.25,0.044,0.002,27.9,0.0,0.08,0.233,8.289,0.463,0.803,5.0,0.0,5.0,5.0,2.6,21.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,1.0,1.555,1.751,0.292,79.0,85.0,4,0.0,78.13467908884421,0
13418,307,65.35,163,29.85,3.9,1.27,0.0,0.0,0.0,16.0,1.84,15.0,281.0,404.0,67.0,4.33,0.054,0.002,28.6,0.0,0.08,0.233,8.506,0.449,0.815,5.0,0.0,5.0,5.0,2.32,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,1.375,1.602,0.295,76.0,85.0,4,2.0,78.32175298832905,0
13419,309,64.83,166,29.94,4.26,1.21,0.0,0.0,0.0,16.0,1.86,15.0,280.0,411.0,66.0,4.35,0.062,0.001,28.8,0.0,0.08,0.232,8.62,0.449,0.82,5.0,0.0,5.0,5.0,2.13,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,2.0,1.439,1.713,0.314,74.0,85.0,4,3.0,78.34187225676422,0
13420,311,66.2,157,29.52,3.43,1.19,0.0,0.0,0.0,16.0,1.74,14.0,281.0,394.0,63.0,4.28,0.045,0.002,28.1,0.0,0.08,0.234,8.335,0.465,0.807,5.0,0.0,5.0,5.0,2.61,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,1.0,1.28,1.438,0.266,79.0,85.0,4,0.0,78.23218694683041,0
13421,338,64.67,188,26.79,8.21,1.11,0.0,0.0,0.0,6.0,2.18,17.0,166.0,217.0,35.0,4.49,0.064,0.009,27.4,0.0,0.062,0.143,4.682,0.528,0.352,8.0,0.0,8.0,8.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.2,6.0,3.007,3.405,0.305,78.0,85.0,4,4.0,76.8625765723473,0
13422,340,63.8,196,27.01,8.9,1.1,0.0,0.0,0.0,6.0,2.22,17.0,164.0,216.0,35.0,4.44,0.059,0.009,28.3,0.0,0.056,0.152,4.884,0.532,0.355,8.0,0.0,8.0,8.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,3.257,3.689,0.33,80.0,85.0,4,4.0,76.87051838883485,0
13423,342,65.54,181,26.57,7.53,1.12,0.0,0.0,0.0,7.0,2.15,18.0,169.0,218.0,35.0,4.53,0.069,0.009,26.5,0.0,0.067,0.133,4.483,0.524,0.349,8.0,0.0,8.0,8.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,2.756,3.121,0.28,76.0,85.0,4,4.0,76.85489948307598,0
